"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Stump Wood Volume","SP_WD_CV","543","WI",11,10.1363636363636,5,22.8,0.387639351130503,22.3562501885056,-0.0650522004034014,2.90296172756474,0.217986588828978,16.9106795213447,0.0234796340035687,0.375280784819161,0.926481420538971
"Stump Wood+Bark Volume","SP_WDBK_CV","543","WI",30,8.85333333333333,5,22.8,0.362541634052171,26.891247877224,-0.0263460313066537,8.97619281570213,0.204282474069566,23.2133636990211,0.0308393072304572,0.357420390072328,0.882967469349909
"Total Stem Bark Volume","ST_BK_CV_TOT","543","WI",9,11.0888888888889,5,22.8,2.23667705594824,151.602723460065,0.695375959990284,62.6766823880734,1.46731217521714,88.1263416105426,0.132473038209863,2.22045349603369,0.723863440551076
"Total Stem Wood Volume","ST_WD_CV_TOT","543","WI",11,10.1363636363636,5,22.8,2.25083758054895,8.1632051548194,0.230030756279625,-0.336687175219787,1.40807815482447,6.74243332023002,0.170870081897007,2.15838225987754,0.995529060303435
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","543","WI",30,8.85333333333333,5,22.8,2.51523128859809,9.35461053656347,-0.0173935581831917,-1.72454864312505,1.4174913078987,7.49835992951397,0.185322581378999,2.47301665107705,0.989762579482468
"Sawlog Bark Volume","ST_BK_CV_SAW","543","WI",3,18.2333333333333,15.4,22.8,3.16031834712596,33.2526095563697,2.39218614583517,25.4678105025314,2.98647805455106,34.0839717959167,0.206889670603818,3.51865920388904,-0.792758678494303
"Sawlog Wood Volume","ST_WD_CV_SAW","543","WI",3,18.2333333333333,15.4,22.8,2.6407771965906,5.78375901176721,1.63062314815563,2.49913598116909,2.40552044478712,4.47261040346512,0.192993772413166,2.70334385271086,0.991053043181496
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","543","WI",5,15.74,11,22.8,5.51259993667072,17.121970068707,1.08583545282359,-5.63833373597292,4.56304922317379,13.2072062513946,0.341773089520527,5.04876668900775,0.980275410583523
"Merch Stem Bark Volume","ST_BK_CV_MER","743","WI",95,11.4021052631579,5.1,18.3,1.13428947986591,49.9721796369816,-0.233643954463068,9.01654030545206,0.919017120289535,36.4666898796343,0.0950716050826288,1.15224078681986,0.642845700691912
"Merch Stem Wood Volume","ST_WD_CV_MER","743","WI",124,10.9524193548387,5.1,18.3,1.92381516127323,8.7436485916526,-0.244045425771348,-1.03627886143482,1.26883332421922,6.30750448721626,0.15554500865308,1.93152158880354,0.980638653635513
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","743","WI",101,11.1762376237624,5.1,18.3,2.20905014794569,8.20727007777774,-0.485594993144086,-1.86231766475202,1.53844851683107,6.24155122809765,0.177595545652133,2.25108622371801,0.978864930971413
"Stump Bark Volume","SP_BK_CV","743","WI",95,11.4021052631579,5.1,18.3,0.0455459583836848,32.1827626259724,-0.0253154668208041,-10.6172087155799,0.039026519199732,29.1350372992312,0.00422429509167126,0.0518986612028979,0.413851326344672
"Stump Wood Volume","SP_WD_CV","743","WI",153,11.2,5.1,18.3,0.142780887708704,14.5052964828035,-0.0502832414039905,-2.22440717385113,0.106910989703966,11.9588272124628,0.0117500681522364,0.150935555568816,0.897827181036499
"Stump Wood+Bark Volume","SP_WDBK_CV","743","WI",101,11.1762376237624,5.1,18.3,0.161223039606306,12.1351658361967,-0.0705172100553942,-4.18468026818834,0.115672598835146,10.3150010161782,0.0130354963511538,0.175237525319867,0.891587981506968
"Total Stem Bark Volume","ST_BK_CV_TOT","743","WI",95,11.4021052631579,5.1,18.3,1.18371667142098,49.2456275268932,-0.249971115748639,8.95830482900668,0.966905820265366,36.2739489613759,0.0996441872704076,1.20371151006121,0.633712080036983
"Total Stem Wood Volume","ST_WD_CV_TOT","743","WI",153,11.2,5.1,18.3,1.88940965464379,7.59707907842012,-0.143379719862315,-0.149727332852525,1.29673102839313,5.56550626424842,0.149392724363503,1.8886752264565,0.98206755880844
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","743","WI",101,11.1762376237624,5.1,18.3,2.15964570736991,7.19904719934339,-0.462722747880639,-1.22221466857283,1.47643542792327,5.36039542684666,0.170190365318623,2.19818175227194,0.980905987825318
"Sawlog Bark Volume","ST_BK_CV_SAW","743","WI",50,13.612,11,18.3,1.13873507876517,44.2991311395868,-0.396625445157412,1.75210601510044,1.01018574088525,33.7794622254013,0.0865321939247673,1.19502927653025,0.553693978530725
"Sawlog Wood Volume","ST_WD_CV_SAW","743","WI",67,13.4149253731343,11,18.3,2.6835555372262,11.2148962630919,-1.3661915222098,-4.38100423462031,2.28610324595181,9.07136578557778,0.220276423964191,2.99340357537586,0.939831619134461
